"Typestatus","Count"
"holotype of <a href=""http://arctos.database.museum/name/congoglanis sagitta"">congoglanis sagitta</a>, page 484 in <a href=""http://arctos.database.museum/publication/10006787"">ferraris et al. 2011</a>",1
"holotype of <a href=""http://arctos.database.museum/name/cottus baileyi"">cottus baileyi</a>, page 311 in <a href=""http://arctos.database.museum/publication/10006907"">robins 1961</a>",1
"holotype of <a href=""http://arctos.database.museum/name/cottus girardi"">cottus girardi</a>, page 306 in <a href=""http://arctos.database.museum/publication/10006907"">robins 1961</a>",1
"holotype of <a href=""http://arctos.database.museum/name/cottus kanawhae"">cottus kanawhae</a>, page 2 in <a href=""http://arctos.database.museum/publication/10006910"">robins 2005</a>",1
"holotype of <a href=""http://arctos.database.museum/name/cryptomyrus ogoouensis"">cryptomyrus ogoouensis</a>, page 133 in <a href=""http://arctos.database.museum/publication/10007298"">sullivan et al. 2016</a>",1
"holotype of <a href=""http://arctos.database.museum/name/cyprinella spiloptera"">cyprinella spiloptera</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>; holotype of <a href=""http://arctos.database.museum/name/cyprinella spiloptera"">cyprinella spiloptera</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/doumea gracila"">doumea gracila</a>, page 60 in <a href=""http://arctos.database.museum/publication/10006810"">skelton 2007</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma bellum"">etheostoma bellum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma blennioides"">etheostoma blennioides</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma chlorobranchium"">etheostoma chlorobranchium</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma denoncourti"">etheostoma denoncourti</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma hopkinsi"">etheostoma hopkinsi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma microlepidum"">etheostoma microlepidum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>; holotype of <a href=""http://arctos.database.museum/name/etheostoma microlepidum"">etheostoma microlepidum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma moorei"">etheostoma moorei</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma rubrum"">etheostoma rubrum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/etheostoma rupestre"">etheostoma rupestre</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
