"Waterbody","Count"
"drainage: rio amazonas ?",3
"drainage: rio balsas",3
"drainage: rio bayano",3
"drainage: rio colorado",3
"drainage: rio parana (?)",3
"drainage: rio piura",3
"drainage: rio ribeira da iguape",3
"drainage: rio rimac; shallow lagoon",3
"drainage: rio tuyra (=tuira)",3
"drainage: sabaki river",3
"drainage: sabine river",3
"drainage: sacramento / san joaquin",3
"drainage: sacramento / san joaquin; suisun cutoff",3
"drainage: sacramento; lake van norden",3
"drainage: saluda river; saluda basin",3
"drainage: san francisco bay",3
"drainage: seine river",3
"drainage: smith r.",3
"drainage: sungai tua, s. batu, s. kelang",3
"drainage: truckee r.; pyramid lake",3
"drainage: uruguay/de la plata; rio cacequy",3
"drainage: yukon r. delta; black r.",3
"dry cr.",3
"edna bay",3
"el empudo bay",3
"enterprise reservoir",3
"esmeraldas r. basin",3
"essequibo r. basin; r. yuruari",3
"essequibo r. basin; rupununi river",3
"fall cr.",3
"feather r.",3
"fraser r. system; thompson r.",3
"galanti bay",3
"gazos cr.",3
"golden trout creek",3
"gravesend bay",3
"great lakes/st. lawrence basin",3
"greenville channel",3
"guadalquivir r.",3
"guayas drainage",3
"gulf of fonseca",3
"gulf of tehuantepec",3
"half-moon bay",3
"hat cr.",3
