"dwc.preparations","freq"
"frozen to 95% EtOH - 10; 70% EtOH - 9",2
"frozen to 95% EtOH - 20",2
"frozen to 95% EtOH - 20; 70% EtOH - 2",2
"frozen to 95% EtOH - 9; 70% EtOH - 1",2
"none - 0",2
"none - 1; frozen to 95% EtOH - 10",2
"none - 26",2
"none - 5",2
"70% EtOH - 1; 95% EtOH (spec) - 0; 95% EtOH (tiss) - 0",1
"70% EtOH - 1; 95% EtOH (spec) - 1; 95% EtOH (tiss) - 1",1
"70% EtOH - 1; 95% EtOH (spec) - 4",1
"70% EtOH - 1; 95% EtOH (spec) - 5",1
"70% EtOH - 1; 95% EtOH (tiss) - 29; 95% EtOH (spec) - 2",1
"70% EtOH - 1; 95% EtOH (tiss) - 30",1
"70% EtOH - 1; 95% EtOH (tiss) - 5",1
"70% EtOH - 1; C&S - 17",1
"70% EtOH - 1; C&S - 4",1
"70% EtOH - 1; frozen (spec) - 2",1
"70% EtOH - 1; frozen (spec) - 25",1
"70% EtOH - 1; frozen to 95% EtOH - 1",1
"70% EtOH - 1; frozen to 95% EtOH - 16",1
"70% EtOH - 1; frozen to 95% EtOH - 17",1
"70% EtOH - 1; frozen to 95% EtOH - 23",1
"70% EtOH - 1; frozen to 95% EtOH - 8",1
"70% EtOH - 1; frozen to 95% EtOH - 9",1
"70% EtOH - 10; 95% EtOH (tiss) - 12; 95% EtOH (spec) - 2",1
"70% EtOH - 10; C&S - 1",1
"70% EtOH - 10; C&S - 4",1
"70% EtOH - 10; C&S - 5",1
"70% EtOH - 10; frozen (spec) - 3",1
"70% EtOH - 10; frozen to 95% EtOH - 1",1
"70% EtOH - 10; frozen to 95% EtOH - 20",1
"70% EtOH - 1016",1
"70% EtOH - 11; 95% EtOH (spec) - 2",1
"70% EtOH - 11; 95% EtOH (tiss) - 3",1
"70% EtOH - 11; C&S - 1",1
"70% EtOH - 11; frozen (spec) - 11",1
"70% EtOH - 11; frozen (spec) - 12",1
"70% EtOH - 11; frozen (spec) - 2",1
"70% EtOH - 11; frozen (spec) - 46",1
"70% EtOH - 1162",1
"70% EtOH - 12; 95% EtOH (spec) - 1",1
"70% EtOH - 12; 95% EtOH (spec) - 15",1
"70% EtOH - 12; 95% EtOH (spec) - 2",1
"70% EtOH - 12; 95% EtOH (spec) - 3",1
"70% EtOH - 12; C&S - 4",1
"70% EtOH - 12; C&S - 6",1
"70% EtOH - 12; frozen (spec) - 21",1
"70% EtOH - 12; frozen (spec) - 8",1
"70% EtOH - 12; frozen to 95% EtOH - 20",1
"70% EtOH - 1217",1
"70% EtOH - 127; frozen to 95% EtOH - 10",1
"70% EtOH - 13; 95% EtOH (spec) - 3",1
"70% EtOH - 13; 95% EtOH (spec) - 4",1
"70% EtOH - 13; C&S - 1",1
"70% EtOH - 13; C&S - 20",1
"70% EtOH - 13; C&S - 3",1
"70% EtOH - 13; frozen (spec) - 3",1
"70% EtOH - 13; frozen to 95% EtOH - 12",1
"70% EtOH - 13; frozen to 95% EtOH - 20",1
"70% EtOH - 1303",1
"70% EtOH - 1323",1
"70% EtOH - 1341",1
"70% EtOH - 137; frozen to 95% EtOH - 10",1
"70% EtOH - 1379",1
"70% EtOH - 1386",1
"70% EtOH - 14; 95% EtOH (spec) - 2",1
"70% EtOH - 14; 95% EtOH (spec) - 6",1
"70% EtOH - 14; 95% EtOH (tiss) - 5; frozen (spec) - 20",1
"70% EtOH - 14; C&S - 6",1
"70% EtOH - 14; frozen (spec) - 4",1
"70% EtOH - 14; frozen to 95% EtOH - 20",1
"70% EtOH - 1415",1
"70% EtOH - 1459",1
"70% EtOH - 1462",1
"70% EtOH - 15; 95% EtOH (spec) - 1",1
"70% EtOH - 15; C&S - 4",1
"70% EtOH - 15; C&S - 5",1
"70% EtOH - 15; frozen to 95% EtOH - 2",1
"70% EtOH - 158",1
"70% EtOH - 16; C&S - 1",1
"70% EtOH - 16; frozen (spec) - 5",1
"70% EtOH - 16; frozen to 95% EtOH - 10",1
"70% EtOH - 17; 95% EtOH (spec) - 14",1
"70% EtOH - 17; C&S - 2",1
"70% EtOH - 17; frozen (spec) - 10",1
"70% EtOH - 17; frozen (spec) - 2",1
"70% EtOH - 1708",1
"70% EtOH - 18; 95% EtOH (spec) - 14",1
"70% EtOH - 18; 95% EtOH (spec) - 9",1
"70% EtOH - 18; C&S - 1",1
"70% EtOH - 18; C&S - 3",1
"70% EtOH - 18; C&S - 4",1
"70% EtOH - 18; C&S - 5",1
"70% EtOH - 18; frozen to 95% EtOH - 2",1
"70% EtOH - 18; frozen to 95% EtOH - 20",1
"70% EtOH - 1822",1
"70% EtOH - 1824",1
"70% EtOH - 186; frozen to 95% EtOH - 13",1
"70% EtOH - 19; 95% EtOH (spec) - 13",1
"70% EtOH - 19; 95% EtOH (spec) - 2; 95% EtOH (tiss) - 18",1
"70% EtOH - 19; frozen (spec) - 24",1
"70% EtOH - 19; frozen (spec) - 3",1
"70% EtOH - 19; frozen to 95% EtOH - 10",1
"70% EtOH - 2; 95% EtOH (spec) - 17; 95% EtOH (tiss) - 2",1
"70% EtOH - 2; 95% EtOH (spec) - 3",1
"70% EtOH - 2; 95% EtOH (tiss) - 2; 95% EtOH (spec) - 1",1
"70% EtOH - 2; 95% EtOH (tiss) - 3",1
"70% EtOH - 2; C&S - 1; 95% EtOH (spec) - 2",1
"70% EtOH - 2; C&S - 4",1
"70% EtOH - 2; frozen (spec) - 1",1
"70% EtOH - 2; frozen (spec) - 11",1
"70% EtOH - 2; frozen (spec) - 3",1
"70% EtOH - 2; frozen (spec) - 7",1
"70% EtOH - 2; frozen (tiss) - 1",1
"70% EtOH - 2; frozen to 95% EtOH - 6",1
"70% EtOH - 20; 95% EtOH (spec) - 1",1
"70% EtOH - 20; C&S - 1",1
"70% EtOH - 20; C&S - 2",1
"70% EtOH - 20; frozen to 95% EtOH - 9",1
"70% EtOH - 200",1
"70% EtOH - 207",1
"70% EtOH - 21; C&S - 1",1
"70% EtOH - 21; C&S - 2",1
"70% EtOH - 21; frozen (spec) - 2",1
"70% EtOH - 212",1
"70% EtOH - 22; frozen to 95% EtOH - 44",1
"70% EtOH - 23; C&S - 4",1
"70% EtOH - 23; C&S - 8",1
"70% EtOH - 23; frozen to 95% EtOH - 30",1
"70% EtOH - 231",1
"70% EtOH - 2350",1
"70% EtOH - 24; frozen (spec) - 18",1
"70% EtOH - 24; frozen to 95% EtOH - 10",1
"70% EtOH - 245",1
"70% EtOH - 25; 95% EtOH (spec) - 1",1
"70% EtOH - 25; 95% EtOH (spec) - 15",1
"70% EtOH - 25; 95% EtOH (spec) - 27",1
"70% EtOH - 25; 95% EtOH (spec) - 7; 95% EtOH (tiss) - 32",1
"70% EtOH - 250",1
"70% EtOH - 251",1
"70% EtOH - 253",1
"70% EtOH - 254",1
"70% EtOH - 257",1
"70% EtOH - 26; 95% EtOH (spec) - 1",1
"70% EtOH - 26; C&S - 1",1
"70% EtOH - 26; C&S - 20",1
"70% EtOH - 26; frozen to 95% EtOH - 12",1
"70% EtOH - 26; frozen to 95% EtOH - 26",1
"70% EtOH - 262",1
"70% EtOH - 264",1
"70% EtOH - 266",1
"70% EtOH - 27; 95% EtOH (spec) - 2",1
"70% EtOH - 27; C&S - 1",1
